"tpc","msg","date"
"xbee/hum",35.7,"2017-01-13 00:00:01.467000"
"xbee/hum",35.7,"2017-01-13 00:00:11.134000"
"xbee/hum",35.7,"2017-01-13 00:00:21.248000"
"xbee/hum",35.7,"2017-01-13 00:00:31.314000"
"xbee/hum",35.7,"2017-01-13 00:00:41.412000"
"xbee/hum",35.7,"2017-01-13 00:00:51.629000"
"xbee/hum",35.7,"2017-01-13 00:01:01.750000"
"xbee/hum",35.7,"2017-01-13 00:01:11.808000"
"xbee/hum",35.8,"2017-01-13 00:01:13.999000"
"xbee/hum",35.7,"2017-01-13 00:01:15.915000"
"xbee/hum",35.7,"2017-01-13 00:01:26.108000"
"xbee/hum",35.7,"2017-01-13 00:01:36.209000"
"xbee/hum",35.6,"2017-01-13 00:01:42.285000"
"xbee/hum",35.7,"2017-01-13 00:01:44.315000"
"xbee/hum",35.6,"2017-01-13 00:01:46.407000"
"xbee/hum",35.6,"2017-01-13 00:01:56.645000"
"xbee/hum",35.6,"2017-01-13 00:02:06.734000"
"xbee/hum",35.7,"2017-01-13 00:02:12.729000"
"xbee/hum",35.7,"2017-01-13 00:02:22.835000"
"xbee/hum",35.7,"2017-01-13 00:02:33.049000"
"xbee/hum",35.6,"2017-01-13 00:02:35.147000"
"xbee/hum",35.6,"2017-01-13 00:02:45.391000"
"xbee/hum",35.6,"2017-01-13 00:02:55.294000"
"xbee/hum",35.6,"2017-01-13 00:03:05.446000"
"xbee/hum",35.6,"2017-01-13 00:03:15.585000"
"xbee/hum",35.6,"2017-01-13 00:03:25.774000"
"xbee/hum",35.6,"2017-01-13 00:03:35.892000"
"xbee/hum",35.6,"2017-01-13 00:03:45.950000"
"xbee/hum",35.6,"2017-01-13 00:03:56.040000"
"xbee/hum",35.6,"2017-01-13 00:04:06.307000"
"xbee/hum",35.6,"2017-01-13 00:04:16.338000"
"xbee/hum",35.6,"2017-01-13 00:04:26.497000"
"xbee/hum",35.6,"2017-01-13 00:04:36.654000"
"xbee/hum",35.6,"2017-01-13 00:04:46.769000"
"xbee/hum",35.7,"2017-01-13 00:04:54.879000"
"xbee/hum",35.6,"2017-01-13 00:04:58.992000"
"xbee/hum",35.7,"2017-01-13 00:05:00.974000"
"xbee/hum",35.6,"2017-01-13 00:05:03.005000"
"xbee/hum",35.7,"2017-01-13 00:05:05.146000"
"xbee/hum",35.6,"2017-01-13 00:05:07.099000"
"xbee/hum",35.7,"2017-01-13 00:05:09.218000"
"xbee/hum",35.6,"2017-01-13 00:05:11.337000"
"xbee/hum",35.7,"2017-01-13 00:05:13.351000"
"xbee/hum",35.6,"2017-01-13 00:05:15.302000"
"xbee/hum",35.6,"2017-01-13 00:05:25.503000"
"xbee/hum",35.6,"2017-01-13 00:05:35.596000"
"xbee/hum",35.6,"2017-01-13 00:05:45.731000"
"xbee/hum",35.7,"2017-01-13 00:05:47.857000"
"xbee/hum",35.6,"2017-01-13 00:05:49.890000"
"xbee/hum",35.7,"2017-01-13 00:05:51.956000"
"xbee/hum",35.7,"2017-01-13 00:06:02.040000"
"xbee/hum",35.7,"2017-01-13 00:06:12.130000"
"xbee/hum",35.7,"2017-01-13 00:06:22.219000"
"xbee/hum",35.6,"2017-01-13 00:06:30.326000"
"xbee/hum",35.6,"2017-01-13 00:06:40.573000"
"xbee/hum",35.7,"2017-01-13 00:06:44.637000"
"xbee/hum",35.6,"2017-01-13 00:06:50.745000"
"xbee/hum",35.7,"2017-01-13 00:06:52.775000"
"xbee/hum",35.6,"2017-01-13 00:06:54.758000"
"xbee/hum",35.7,"2017-01-13 00:06:56.789000"
"xbee/hum",35.6,"2017-01-13 00:07:04.896000"
"xbee/hum",35.7,"2017-01-13 00:07:06.927000"
"xbee/hum",35.6,"2017-01-13 00:07:11.052000"
"xbee/hum",35.6,"2017-01-13 00:07:21.077000"
"xbee/hum",35.6,"2017-01-13 00:07:31.168000"
"xbee/hum",35.6,"2017-01-13 00:07:41.374000"
"xbee/hum",35.6,"2017-01-13 00:07:51.491000"
"xbee/hum",35.6,"2017-01-13 00:08:01.548000"
"xbee/hum",35.6,"2017-01-13 00:08:11.718000"
"xbee/hum",35.6,"2017-01-13 00:08:21.727000"
"xbee/hum",35.6,"2017-01-13 00:08:31.966000"
"xbee/hum",35.6,"2017-01-13 00:08:42.064000"
"xbee/hum",35.7,"2017-01-13 00:08:50.029000"
"xbee/hum",35.6,"2017-01-13 00:08:52.059000"
"xbee/hum",35.7,"2017-01-13 00:09:00.166000"
"xbee/hum",35.7,"2017-01-13 00:09:10.288000"
"xbee/hum",35.7,"2017-01-13 00:09:20.377000"
"xbee/hum",35.7,"2017-01-13 00:09:30.482000"
"xbee/hum",35.7,"2017-01-13 00:09:40.605000"
"xbee/hum",35.7,"2017-01-13 00:09:50.711000"
"xbee/hum",35.8,"2017-01-13 00:09:58.818000"
"xbee/hum",35.8,"2017-01-13 00:10:08.940000"
"xbee/hum",35.8,"2017-01-13 00:10:19.045000"
"xbee/hum",35.7,"2017-01-13 00:10:23.091000"
"xbee/hum",35.8,"2017-01-13 00:10:25.122000"
"xbee/hum",35.7,"2017-01-13 00:10:27.398000"
"xbee/hum",35.7,"2017-01-13 00:10:37.334000"
"xbee/hum",35.7,"2017-01-13 00:10:47.426000"
"xbee/hum",35.7,"2017-01-13 00:10:57.910000"
"xbee/hum",35.8,"2017-01-13 00:11:03.609000"
"xbee/hum",35.7,"2017-01-13 00:11:05.640000"
"xbee/hum",35.7,"2017-01-13 00:11:15.923000"
"xbee/hum",35.7,"2017-01-13 00:11:25.931000"
"xbee/hum",35.7,"2017-01-13 00:11:36.192000"
